datacenter,from_country_code,song_id,votes,calculated_at
dc-central,AT,1,308,2026-05-12T10:28:22
dc-central,AT,2,321,2026-05-12T10:28:22
dc-central,AT,3,320,2026-05-12T10:28:22
dc-central,AT,4,196,2026-05-12T10:28:22
dc-central,AT,5,695,2026-05-12T10:28:22
dc-central,AT,6,175,2026-05-12T10:28:22
dc-central,AT,7,183,2026-05-12T10:28:22
dc-central,AT,8,186,2026-05-12T10:28:22
dc-central,AT,9,196,2026-05-12T10:28:22
dc-central,AT,10,202,2026-05-12T10:28:22
dc-central,AT,11,173,2026-05-12T10:28:22
dc-central,AT,12,172,2026-05-12T10:28:22
dc-central,AT,13,207,2026-05-12T10:28:22
dc-central,AT,14,322,2026-05-12T10:28:22
dc-central,AT,15,195,2026-05-12T10:28:22
dc-central,AT,16,664,2026-05-12T10:28:22
dc-central,AT,18,206,2026-05-12T10:28:22
dc-central,AT,19,194,2026-05-12T10:28:22
dc-central,AT,20,172,2026-05-12T10:28:22
dc-central,CH,1,302,2026-05-12T10:28:22
dc-central,CH,2,765,2026-05-12T10:28:22
dc-central,CH,3,308,2026-05-12T10:28:22
dc-central,CH,4,180,2026-05-12T10:28:22
dc-central,CH,5,590,2026-05-12T10:28:22
dc-central,CH,6,185,2026-05-12T10:28:22
dc-central,CH,7,178,2026-05-12T10:28:22
dc-central,CH,8,181,2026-05-12T10:28:22
dc-central,CH,9,169,2026-05-12T10:28:22
dc-central,CH,10,161,2026-05-12T10:28:22
dc-central,CH,11,159,2026-05-12T10:28:22
dc-central,CH,12,191,2026-05-12T10:28:22
dc-central,CH,13,165,2026-05-12T10:28:22
dc-central,CH,14,250,2026-05-12T10:28:22
dc-central,CH,15,155,2026-05-12T10:28:22
dc-central,CH,17,602,2026-05-12T10:28:22
dc-central,CH,18,186,2026-05-12T10:28:22
dc-central,CH,19,153,2026-05-12T10:28:22
dc-central,CH,20,192,2026-05-12T10:28:22
dc-central,CZ,1,311,2026-05-12T10:28:22
dc-central,CZ,2,333,2026-05-12T10:28:22
dc-central,CZ,3,326,2026-05-12T10:28:22
dc-central,CZ,4,212,2026-05-12T10:28:22
dc-central,CZ,5,621,2026-05-12T10:28:22
dc-central,CZ,6,199,2026-05-12T10:28:22
dc-central,CZ,7,186,2026-05-12T10:28:22
dc-central,CZ,8,171,2026-05-12T10:28:22
dc-central,CZ,9,193,2026-05-12T10:28:22
dc-central,CZ,10,186,2026-05-12T10:28:22
dc-central,CZ,11,200,2026-05-12T10:28:22
dc-central,CZ,12,220,2026-05-12T10:28:22
