rank,song_id,country,flag,total_votes,dc_west,dc_north,dc_central,dc_south
1,1,Sweden,🇸🇪,7734,1594,2786,1491,1863
2,2,France,🇫🇷,7696,1793,1605,1984,2314
3,14,Ukraine,🇺🇦,6478,1628,1580,1836,1434
4,3,Italy,🇮🇹,6200,1702,1587,1521,1390
5,5,Germany,🇩🇪,5859,1383,945,2501,1030
6,13,Poland,🇵🇱,5188,1006,957,1561,1664
7,16,Switzerland,🇨🇭,5075,1390,951,1611,1123
8,6,Belgium,🇧🇪,4626,1761,910,911,1044
9,7,Netherlands,🇳🇱,4580,1287,860,1314,1119
10,10,Finland,🇫🇮,4574,958,1691,892,1033
11,9,Denmark,🇩🇰,4555,976,1647,904,1028
12,8,Norway,🇳🇴,4489,970,1593,853,1073
13,17,Austria,🇦🇹,4486,980,941,1494,1071
14,4,Spain,🇪🇸,4247,952,969,949,1377
15,20,Estonia,🇪🇪,4177,968,1227,848,1134
16,15,United Kingdom,🇬🇧,4167,1303,965,829,1070
17,18,Ireland,🇮🇪,4133,1173,944,912,1104
18,19,Czechia,🇨🇿,4109,1016,955,1071,1067
19,11,Portugal,🇵🇹,4091,988,915,846,1342
20,12,Greece,🇬🇷,3536,909,935,892,800
