second,incoming_votes
1,112445
2,104465
3,130235
4,15016
5,1271
6,2478103
7,5510463
8,3530814
9,2706803
10,4765718
11,4581202
12,3676528
13,932969
14,1865062
15,2550675
16,1783026
17,2169793
18,1710420
19,2258097
20,2149432
21,1438123
22,914780
23,1216726
24,1834959
25,2534515
26,2286984
27,1052538
28,2133938
29,1996111
30,1513786
31,2330326
32,2243783
33,2059746
34,2165414
35,1894309
36,1979163
37,2434715
38,2062819
39,2132825
40,1098029
41,2315770
42,2029311
43,6538192
44,3427322
45,3370072
46,6398823
47,7647811
48,7205491
49,3776887
50,3234873
51,6712509
52,3450437
53,5193877
54,4321666
55,11315171
56,9686372
57,10240851
58,8865478
59,6036272
60,7876689
