rank,song_id,country,flag,total_votes
1,2,France,🇫🇷,14698794
2,1,Sweden,🇸🇪,13897183
3,5,Germany,🇩🇪,13465011
4,4,Spain,🇪🇸,12629759
5,3,Italy,🇮🇹,12620554
6,16,Switzerland,🇨🇭,10962125
7,13,Poland,🇵🇱,10098923
8,6,Belgium,🇧🇪,9868925
9,10,Finland,🇫🇮,9662675
10,17,Austria,🇦🇹,9311811
11,15,United Kingdom,🇬🇧,8906483
12,18,Ireland,🇮🇪,8898478
13,7,Netherlands,🇳🇱,8480965
14,9,Denmark,🇩🇰,8477338
15,8,Norway,🇳🇴,8472683
16,14,Ukraine,🇺🇦,7678318
17,19,Czechia,🇨🇿,7651984
18,11,Portugal,🇵🇹,7642693
19,20,Estonia,🇪🇪,7639605
20,12,Greece,🇬🇷,6451980
